Brand,Model,MPG
Ford Mustang (2015 - 2022),mustang-2015,16–34
Ford Mondeo Estate (2015 - 2021),mondeo-estate-2015,27–64
Ford Mondeo (2007 - 2015),mondeo-2007,23–62
Ford Fiesta Van (2013 - 2017),fiesta-van-2013,54–69
Ford Mondeo (2015 - 2021),mondeo-2015,22–68
Ford Kuga (2020 on),kuga-2020,40–77
Ford Mondeo  Estate (2007 - 2015),mondeo-estate-2007,22–62
Ford Kuga (2013 - 2020),kuga-2013,19–59
Ford Ka+ (2016 - 2020),ka-2016,35–55
Ford Ka+  Active (2018 - 2020),ka-active-2018,-
Ford Ka (2008 - 2016),ka-2008,34–67
Ford Kuga (2008 - 2013),kuga-2008,18–50
Ford Grand C-MAX (2010 - 2019),grand-c-max-2010,24–61
Ford Focus (2011 - 2014),focus-2011,27–67
Ford Focus (2018 on),focus-2018,28–71
Ford Galaxy (2015 on),galaxy-2015,23–51
Ford Galaxy (2006 - 2015),galaxy-2006,22–51
Ford Fusion (2002 - 2012),fusion-2002,27–71
Ford Focus (2004 - 2007),focus-2004,25–65
Ford Focus (2008 - 2011),focus-2008,23–68
Ford Focus (2014 - 2018),focus-2014,25–70
Ford Focus  ST (2005 - 2011),focus-st-2005,20–32
Ford Focus  ST (2015 - 2018),focus-st-2015,23–57
Ford Focus  ST (2019 on),focus-st-2019,28–32
Ford Focus  ST (2012 - 2015),focus-st-2012,23–37
Ford Focus  Estate (2011 - 2014),focus-estate-2011,28–67
Ford Focus  Coupe-Cabriolet (2006 - 2011),focus-cc-2006,24–50
Ford Focus  Estate (2018 on),focus-estate-2018,26–61
Ford Focus  Active (2019 on),focus-active-2019,36–61
Ford Fiesta (2013 - 2017),fiesta-2013,29–77
Ford Fiesta (2017 on),fiesta-2017,28–71
Ford Fiesta  ST (2018 on),fiesta-st-2018,30–46
Ford Fiesta (2008 - 2013),fiesta-2008,26–78
Ford Fiesta (2002 - 2008),fiesta-2002,25–70
Ford Fiesta  ST (2013 - 2018),fiesta-st-2013,29–47
Ford Edge (2016 - 2019),edge-2015,27–44
Ford EcoSport (2014 on),ecosport-2014,25–58
Ford Fiesta  Active (2018 on),fiesta-active-2018,28–73
Ford Focus  RS (2009 - 2011),focus-rs-2009,20–32
Ford C-MAX (2003 - 2010),c-max-2003,21–65
Ford B-MAX (2012 - 2017),b-max-2011,27–68
Ford C-MAX (2010 - 2019),c-max-2010,28–62
Ferrari F430 (2005 - 2009),f430-2005,14–18
Ford Focus  Estate (2014 - 2018),focus-estate-2014,29–68
Ferrari 612 Scaglietti (2004 - 2011),f612-2004,-
Ferrari 599 GTB (2006 - 2012),f599-gtb-2006,-
Ferrari F12 Berlinetta (2012 - 2017),f12-berlinetta-2012,-
Ferrari 458 Italia (2010 on),f458-italia-2010,-
Ferrari California (2009 - 2017),f149-california-2009,-
DS 7 (2017 on),ds7-crossback-2017,34–82
DS 4 (2021 on),ds4-2021,-
DS 4 (2011 - 2018),ds4-2011,43–55
DS 5 (2012 - 2018),ds5-2012,32–63
DS 3 (2010 - 2019),ds3-2010,34–72
Ford Focus  RS (2016 - 2018),focus-rs-2016,19–31
Dodge SRT-10 (2004 - 2008),srt-10-2004,-
Dodge Nitro (2007 - 2010),nitro-2007,14–32
Dodge Journey (2008 - 2010),journey-2008,29–44
DS 3  Cabrio (2013 - 2019),ds3-cabrio-2013,36–62
Dodge Avenger (2007 - 2010),avenger-2007,24–51
Honda Legend (2006 - 2009),legend-2006,22–34
Honda Jazz (2015 - 2020),jazz-2014,37–64
Dodge Caliber (2006 - 2010),caliber-2006,29–53
DS 3 (2019 on),ds3-crossback-2019,29–39
Honda NSX (2016 - 2022),nsx-2015,-
Honda Jazz (2008 - 2015),jazz-2008,33–59
Honda Jazz  Hybrid (2011 - 2015),jazz-hybrid-2011,42–65
Honda Jazz (2001 - 2008),jazz-2001,34–58
Honda Insight (2009 - 2014),insight-2009,39–63
Honda HR-V (2021 on),hr-v-2021,-
Honda CR-V (2018 - 2023),cr-v-2018,28–58
Honda CR-V (2012 - 2018),cr-v-2012,23–66
Honda FR-V (2004 - 2009),fr-v-2004,22–54
Honda HR-V (2015 - 2021),hr-v-2015,34–71
Honda Civic (2017 - 2021),civic-2017,28–70
Honda CR-V (2002 - 2006),cr-v-2002,21–50
Honda CR-Z (2010 - 2015),cr-z-2010,36–58
Honda CR-V (2007 - 2012),cr-v-2007,22–50
Honda Civic (2012 - 2017),civic-2012,27–81
Honda Civic (2006 - 2011),civic-2006,26–61
Honda Civic  Tourer (2014 - 2017),civic-tourer-2014,31–77
Fiat Talento  (2016 on),talento-2016,-
Honda Civic  Type R (2017 - 2021),civic-type-r-2017,34–42
Honda Civic  Type R (2015 - 2017),civic-type-r-2015,31–39
Honda Accord  Tourer (2008 - 2015),accord-tourer-2008,27–53
Fiat Scudo (2007 - 2016),scudo-2007,28–48
Fiat Qubo (2009 - 2021),qubo-2009,30–65
Fiat Talento  (2016 on),talento-2016,-
Honda Accord  Tourer (2003 - 2008),accord-tourer-2003,27–57
Fiat Punto Van (2007 - 2014),punto-van-2007,59
Genesis G70  Shooting Brake (2022 on),g70-shooting-brake-2022,-
Honda Civic  Saloon (2018 - 2020),civic-saloon-2018,32–71
Fiat Fiorino (2008 on),fiorino-2008,43–52
Honda Civic  Hybrid (2006 - 2011),civic-hybrid-2006,35–58
Fiat Ducato (2006 on),ducato-2006,23–42
Fiat Doblo Cargo (2010 - 2022),doblo-cargo-2010,32–52
Fiat Scudo (2007 - 2016),scudo-2007,28–48
Fiat Qubo (2009 - 2021),qubo-2009,30–65
Fiat Punto Van (2007 - 2014),punto-van-2007,59
Fiat Ducato (2006 on),ducato-2006,23–42
Fiat Fiorino (2008 on),fiorino-2008,43–52
Fiat Doblo Cargo (2010 - 2022),doblo-cargo-2010,32–52
Honda Civic  Type R (2007 - 2012),civic-type-r-2007,23–38
Fiat Tipo  Station Wagon (2016 on),tipo-station-wagon-2016,36–66
Honda Accord (2008 - 2015),accord-2008,24–58
Honda Accord (2003 - 2008),accord-2003,25–59
Fiat Punto (2010 - 2018),punto-evo-2010,30–73
Fiat Tipo  Cross (2016 on),tipo-2016,28–68
Fiat Stilo (2002 - 2007),stilo-2002,34–61
Fiat Sedici (2006 - 2013),sedici-2006,30–59
Fiat Panda (2012 on),panda-2012,32–85
Fiat Panda (2004 - 2012),panda-2003,32–78
Fiat Multipla (2004 - 2010),multipla-2004,25–48
Fiat Panda  4x4 (2005 - 2012),panda-4x4-2005,37–56
Fiat Panda  4x4 (2012 on),panda-4x4-2012,32–66
Fiat Idea (2004 - 2007),idea-2004,30–63
Fiat Grande Punto (2006 - 2009),grande-punto-2006,28–74
Fiat Bravo (2007 - 2014),bravo-2007,27–68
Fiat Doblo (2010 - 2021),doblo-2010,25–54
Hyundai i800 (2008 - 2022),i800-2008,22–35
Fiat Doblo (2001 - 2009),doblo-2001,26–60
Fiat Croma (2005 - 2007),croma-2005,31–46
Fiat 500X (2015 on),500x-2015,21–58
Fiat 500 (2008 on),500-2007,35–74
Fiat 500L (2013 - 2023),500l-2013,30–65
Fiat 500L  MPW (2013 - 2018),500l-mpw-2013,29–60
Fiat 500C (2009 on),500c-2009,36–61
Hyundai Veloster (2012 - 2015),veloster-2012,31–48
Hyundai Tucson (2021 on),tucson-2021,33–55
Fiat 124 Spider (2016 - 2018),124-spider-2016,31–47
Hyundai Tucson (2015 - 2021),tucson-2015,24–55
Hyundai Tucson (2004 - 2009),tucson-2004,21–42
Hyundai Santa Fe (2006 - 2012),santa-fe-2006,16–44
Hyundai Santa Fe (2018 on),santa-fe-2018,33–46
Hyundai Santa Fe (2012 - 2018),santa-fe-2012,26–43
Hyundai Nexo (2019 on),nexo-fcev-2019,-
Hyundai ix35 (2009 - 2015),ix35-2009,24–55
Hyundai Kona (2017 - 2023),kona-2017,27–63
Hyundai ix20 (2010 - 2018),ix20-2010,28–60
Hyundai i40 (2012 - 2019),i40-saloon-2012,31–59
Hyundai i40  Tourer (2011 - 2019),i40-tourer-2011,32–62
Hyundai i30 (2017 on),i30-2017,33–63
Hyundai i30 (2012 - 2017),i30-2012,30–68
Hyundai i30 (2007 - 2012),i30-2007,29–69
Hyundai i30  Tourer (2017 - 2022),i30-tourer-2017,35–62
Hyundai i30  Tourer (2012 - 2017),i30-tourer-2012,38–62
Hyundai i30  Estate (2008 - 2012),i30-estate-2008,30–65
Hyundai i30  N (2018 on),i30-n-2018,24–37
Hyundai i30  Fastback (2018 on),i30-fastback-2018,33–50
Hyundai i20 (2020 on),i20-2020,42–54
