Car Name,CO2
Volkswagen  - Up! - eUp!,42
Volkswagen  - Up! - e-Up  Move Style plus,80
Hyundai  - IONIQ - EV challenge spécial,50
Hyundai  - IONIQ - IONIQ Elektro Premium,61
Hyundai  - IONIQ - Electric Premium ,51
Hyundai  - IONIQ - Facelift,61
Hyundai  - IONIQ - 28kW Creative,61
Hyundai  - IONIQ - Creative,56
Dacia  - Spring - Essential,48
Volkswagen  - Up! - E-UP!,74
Volkswagen  - Up! - e-UP! Style Plus,55
Hyundai  - IONIQ - Ioniq electric,62
Hyundai  - IONIQ - Executive,62
Hyundai  - IONIQ - FL,62
Hyundai  - IONIQ - electric ,1
Hyundai  - IONIQ - Electric,58
Hyundai  - IONIQ - Ioniq Electric Creative,62
Hyundai  - IONIQ - Style,62
Dacia  - Spring - Confort plus,62
Hyundai  - IONIQ - Ioniq Electric,20
Hyundai  - IONIQ - 28,62
Hyundai  - IONIQ - Executive,54
Hyundai  - IONIQ - Ioniq electric classic (28kWh),48
Volkswagen  - Up! - e-up! United,14
Dacia  - Spring - Spring,76
Hyundai  - IONIQ - Electric Premium,63
Volkswagen  - Up! - e-up,57
Hyundai  - IONIQ - Premium,64
Dacia  - Spring - Spring,85
Volkswagen  - Up! - e-up!,58
Hyundai  - IONIQ - Electro Style 38kW,64
Dacia  - Spring - Spring,76
Dacia  - Spring - Comfort Plus ,59
Dacia  - Spring - Komfort plus,61
Dacia  - Spring - confort plus,61
Dacia  - Spring - Spring,70
Volkswagen  - Up! - Style,63
Dacia  - Spring - Comfort Plus,66
Volkswagen  - Up! - Active,55
Hyundai  - IONIQ - Electric Style,50
Volkswagen  - Up! - e-Up!,50
Hyundai  - IONIQ - Electric,67
Hyundai  - IONIQ - IONIQ electric,66
Volkswagen  - Up! - e-Up! Style,53
Volkswagen  - Up! - Style,60
Hyundai  - IONIQ - Ioniq Electric,66
Dacia  - Spring - Comfort Plus,64
Dacia  - Spring - Comfort Plus,83
Hyundai  - IONIQ - Premium ,64
Hyundai  - IONIQ - Exclusive,66
Hyundai  - IONIQ - Ioniq Electric Premium 28 kWh ,39
Hyundai  - IONIQ - 28 kWh,66
Hyundai  - IONIQ - Ioniq Electric Premium,0
Volkswagen  - Up! - e-Up!,61
Volkswagen  - Up! - e-Up,61
Volkswagen  - Up! - e-Up!,0
Hyundai  - IONIQ - Style,67
Volkswagen  - Up! - vw e up ,56
Hyundai  - IONIQ - Ioniq electric Comfort Eco,68
Dacia  - Spring - Sping,79
Hyundai  - IONIQ - IONIQ Electric,67
Hyundai  - IONIQ - Premium,68
Hyundai  - IONIQ - IONIQ Elektro Premium,54
Hyundai  - IONIQ - Ioniq Electric,68
Hyundai  - IONIQ - IONIQ electric,68
Volkswagen  - Up! - United,71
Hyundai  - IONIQ - Style,68
Hyundai  - IONIQ - Premium ,68
Hyundai  - IONIQ - Premium,69
Hyundai  - IONIQ - IONIQ EV Creative,69
Hyundai  - IONIQ - Premium Electric,69
Volkswagen  - Up! - e-up! Style Plus,83
Hyundai  - IONIQ - FL,43
Volkswagen  - Up! - e up!,71
Hyundai  - IONIQ - Premium,70
Hyundai  - IONIQ - Ioniq 38 Executive,72
Hyundai  - IONIQ - Comfort,70
Dacia  - Spring - Comfort Plus,73
Dacia  - Spring - Essential 45,88
Dacia  - Spring - Spring Confort,51
Dacia  - Spring - comfort plus ,65
Hyundai  - IONIQ - Ioniq Electric Creative,70
Volkswagen  - Up! - E UP,52
Volkswagen  - Up! - e-up! 2.0,57
Hyundai  - IONIQ - IONIQ ELECTRIC CREATIVE,70
Dacia  - Spring - Comfort Plus,84
Hyundai  - IONIQ - Ioniq ,70
Dacia  - Spring - Spring electric,73
Volkswagen  - Up! - eUp,4
Dacia  - Spring - Look Orange,85
Volkswagen  - Up! - Style,73
Hyundai  - IONIQ - Premium,64
Hyundai  - IONIQ - Premium,71
Hyundai  - IONIQ - Ioniq Premium,71
Volkswagen  - Up! - e-up! move,74
Hyundai  - IONIQ - Ioniq EV Electric Tech,70
Volkswagen  - Up! - up,65
Hyundai  - IONIQ - IONIQ Prämium,71
Hyundai  - IONIQ - Ioniq Premium,60
Hyundai  - IONIQ - Ioniq Premium,71
Hyundai  - IONIQ - Ioniq Elektro Premium,71
Hyundai  - IONIQ - IONIQ Facelift Style,66
Hyundai  - IONIQ - Facelift Style,72
Hyundai  - IONIQ - Ionic Executive,23
Volkswagen  - Up! - E-Up United,66
Hyundai  - IONIQ - Ioniq Prime,7
Hyundai  - IONIQ - Ioniq electric Premium,65
Hyundai  - IONIQ - electro,73
Hyundai  - IONIQ - Facelift Style,31
Volkswagen  - Up! - eup,105
Hyundai  - IONIQ - Elektro,73
Hyundai  - IONIQ - IONIQ Electric Prime,0
Volkswagen  - Up! - Eup!,79
Volkswagen  - Up! - e-Up!,80
Hyundai  - IONIQ - Style,66
Volkswagen  - Up! - e.Up Move,84
Hyundai  - IONIQ - elektro,73
Hyundai  - IONIQ - electric Style,74
Hyundai  - IONIQ - Electric,39
Volkswagen  - Up! - e-Up,1
Volkswagen  - Up! - e•up!,70
Volkswagen  - Up! - e-Up! Style,68
Dacia  - Spring - Comfort Plus,64
Volkswagen  - Up! - e-Up!,81
Hyundai  - IONIQ - Premium,75
Hyundai  - IONIQ - Style,74
Hyundai  - IONIQ - Style,0
Hyundai  - IONIQ - Premium,36
Hyundai  - IONIQ - Premium,74
Hyundai  - IONIQ - Ioniq Electric Style,75
Hyundai  - IONIQ - style,14
Hyundai  - IONIQ - Premium,76
Hyundai  - IONIQ - electric,75
Hyundai  - IONIQ - electric,75
Hyundai  - IONIQ - Electric Premium,67
Hyundai  - IONIQ - IONIQ Premium,76
Hyundai  - IONIQ - EV,76
Hyundai  - IONIQ - Premium,77
Hyundai  - IONIQ - Premium,76
Hyundai  - IONIQ - Elektro,67
"Volkswagen  - Up! - Style ""Plus""",18
Volkswagen  - Up! - e-up! Style,67
Volkswagen  - Up! - e-Up United,77
Hyundai  - IONIQ - Style,78
Hyundai  - IONIQ - Elektric -  Style,77
Hyundai  - IONIQ - facelift,74
Hyundai  - IONIQ - Roadrunner - Ioniq electric Premium (AT),67
Hyundai  - IONIQ - Ioniq Electric Premium,78
Hyundai  - IONIQ - Facelift Prime,5
Hyundai  - IONIQ - Ioniq electric,67
Hyundai  - IONIQ - Ioniq,79
Hyundai  - IONIQ - Electric Premium,79
Volkswagen  - Up! - eUp!,69
Hyundai  - IONIQ - Ioniq Electric Comfort,81
Volkswagen  - Up! - e-UP!,64
Hyundai  - IONIQ - Style,80
Hyundai  - IONIQ - electric Premium FL,79
Hyundai  - IONIQ - Premium,81
Hyundai  - IONIQ - Premium,83
Hyundai  - IONIQ - Ioniq Electric,0
Hyundai  - IONIQ - Electric Prime,85
Hyundai  - IONIQ - Style (2020),82
Hyundai  - IONIQ - Ioniq Electric Creative - Conso plug,72
Volkswagen  - Up! - e-Up United,69
Hyundai  - IONIQ - Electric,82
Hyundai  - IONIQ - Ioniq Style,87
Hyundai  - IONIQ - Ioniq,91
Volkswagen  - Up! - e up!,84
Volkswagen  - Golf - eGolf 300,4
Hyundai  - IONIQ - Electric,83
Volkswagen  - Up! - up,78
Volkswagen  - Up! - eUP United,86
Hyundai  - IONIQ - Electric,96
Hyundai  - IONIQ - Facelift Style,88
Volkswagen  - Golf - e-Golf,22
Volkswagen  - Up! - e-Up! move,85
Hyundai  - IONIQ - 100 electric,94
Hyundai  - IONIQ - Roadrunner 2 - Ioniq electric Premium (DE),69
Volkswagen  - Golf - e-Golf,46
Hyundai  - IONIQ - Creative,87
Volkswagen  - Golf - eGolf 7,9
Volkswagen  - Golf - E-Golf,16
Volkswagen  - Golf - e-Golf 300,27
Volkswagen  - Golf - E-Golf 300,56
Volkswagen  - Golf - e-Golf,41
Volkswagen  - Golf - E-Golf,57
Volkswagen  - Golf - E-Golf,22
Volkswagen  - Golf - eGolf,59
Volkswagen  - Golf - e-Golf,55
Hyundai  - IONIQ - Ioniq Style,69
Dacia  - Spring - Comfort Plus (MY22),50
Volkswagen  - Golf - E-golf,0
Volkswagen  - Golf - e-GOLF COMFO 100 E1F,56
Volkswagen  - Golf - e-Golf,60
Dacia  - Spring - Spring Comfort Plus,34
Volkswagen  - Golf - E-Golf ,61
Volkswagen  - Golf - Golf e,61
Dacia  - Spring - Extreme 65,61
Dacia  - Spring - Confort plus Electric 45,63
Volkswagen  - Up! - E-Up,4
Hyundai  - IONIQ - electric Prime,65
Hyundai  - IONIQ - Executive+,70
Volkswagen  - Golf - e-Golf,54
Volkswagen  - Golf - e-Golf,62
Volkswagen  - Golf - e-Golf,63
Volkswagen  - Up! - E-UP,52
Hyundai  - IONIQ - electric,72
Volkswagen  - Golf - eGolf 300,64
Hyundai  - IONIQ - Premium,81
Hyundai  - IONIQ - Premium,64
Hyundai  - IONIQ - ioniq Premium,34
Volkswagen  - Golf - e Golf,62
Dacia  - Spring - Expression 45,60
Dacia  - Spring - Dacia,77
Volkswagen  - Golf - eGolf,35
Hyundai  - IONIQ - Premium,62
Hyundai  - IONIQ - IONIQ,51
Volkswagen  - Golf - e-Golf,65
Dacia  - Spring - Comfort Plus,77
Hyundai  - IONIQ - Ioniq Electric Premium,76
Volkswagen  - Golf - 7,67
Volkswagen  - Golf - eGolf,64
Hyundai  - IONIQ - Electric,24
Volkswagen  - Golf - e-Golf,68
Hyundai  - IONIQ - Ioniq,78
Hyundai  - IONIQ - Prime,67
Hyundai  - IONIQ - creative,80
Volkswagen  - Golf - E-Golf,65
Hyundai  - IONIQ - Premium,61
Volkswagen  - Golf - eGolf 300,69
Volkswagen  - Up! - e-up ,73
Volkswagen  - Up! - e-up!,71
Hyundai  - IONIQ - Premium,73
Volkswagen  - Golf - E-Golf,63
Dacia  - Spring - Spring,7
Volkswagen  - Golf - Golf 300,63
Hyundai  - IONIQ - Prime,0
Volkswagen  - Golf - Egolf,37
Volkswagen  - Golf - eGolf Comfo,63
Hyundai  - IONIQ - Ioniq electric ultimate,54
Hyundai  - IONIQ - Ioniq,63
Volkswagen  - Golf - eGolf,65
Hyundai  - IONIQ - Premium,47
Volkswagen  - Golf - GTE,64
Volkswagen  - Golf - e-Golf 2018,0
Volkswagen  - Golf - e-Golf,71
Volkswagen  - Golf - e-Golf,0
Hyundai  - IONIQ - electric,62
Hyundai  - IONIQ - EV,58
Hyundai  - IONIQ - Electric Style,73
Volkswagen  - Golf - e Golf,72
Hyundai  - IONIQ - Style,62
Hyundai  - IONIQ - Elektro,62
Volkswagen  - Golf - eGolf 300,72
Hyundai  - IONIQ - Premium,63
Volkswagen  - Golf - e-Golf,72
"Volkswagen  - Golf - e-Golf 35,8 kWh",25
Volkswagen  - Golf - e-Golf 300,67
Hyundai  - IONIQ - Premium,62
Volkswagen  - Golf - e-Golf,0
Volkswagen  - Golf - e-Golf,72
Volkswagen  - Golf - e-Golf,73
Volkswagen  - Golf - 136cv,74
Volkswagen  - Golf - e-Golf,74
Volkswagen  - Golf - E-golf 136,66
Volkswagen  - Golf - e-Golf 300 2018,74
Hyundai  - IONIQ - electric,0
Volkswagen  - Up! - Style,78
Volkswagen  - Golf - eGolf 300,75
Volkswagen  - Golf - e-Golf,73
Volkswagen  - Golf - eGolf,75
Volkswagen  - Golf - e-Golf,1
Hyundai  - IONIQ - Executive Electric 28 kW,62
Volkswagen  - Golf - eGolf,75
Volkswagen  - Golf - E-Golf ,80
Hyundai  - IONIQ - Ioniq Style electric,73
Volkswagen  - Golf - e-Golf,0
Volkswagen  - Golf - e-GOLF,75
Volkswagen  - Golf - eGolf,0
Hyundai  - IONIQ - Classic,55
Volkswagen  - Golf - e-Golf,76
Volkswagen  - Golf - E-Golf ,76
Volkswagen  - Golf - e-Golf,76
Volkswagen  - Golf - e-Golf,68
Volkswagen  - Golf - e Golf,76
Volkswagen  - Golf - eGolf,77
Volkswagen  - Golf - CityStromer,77
Volkswagen  - Golf - E-Golf,67
Volkswagen  - Golf - eGolf,76
Volkswagen  - Golf - e Golf 300,0
Volkswagen  - Golf - e-Golf,29
Volkswagen  - Golf - e-Golf,77
Volkswagen  - Golf - e-Golf ,77
Volkswagen  - Golf - eGolf,52
Volkswagen  - Golf - 2018,77
Hyundai  - IONIQ - Ioniq Electric Style,61
Hyundai  - IONIQ - Trend,60
Volkswagen  - Golf - E-Golf 300,78
Volkswagen  - Golf - E-Golf ,78
Volkswagen  - Golf - E-Golf,77
Volkswagen  - Golf - eGolf ,78
Volkswagen  - Golf - E   ,78
Dacia  - Spring - Comfort,70
Hyundai  - IONIQ - IONIQ Premium  FL,26
Volkswagen  - Golf - e-Golf,78
Volkswagen  - Golf - e-Golf,79
Volkswagen  - Golf - e-Golf,78
Volkswagen  - Golf - e-Golf,0
Volkswagen  - Golf - e-Golf,79
Volkswagen  - Golf - eGolf 300,79
Volkswagen  - Golf - e-Golf E-dition 2020,69
Volkswagen  - Golf - e-Golf 300,80
Volkswagen  - Golf - E-Golf,79
Volkswagen  - Golf - e-golf,80
Volkswagen  - Golf - E-Golf,79
Volkswagen  - Golf - e-Golf 300,70
Volkswagen  - Golf - e-Golf 300,79
Volkswagen  - Golf - Comfortline,0
Volkswagen  - Golf - eGolf,85
Volkswagen  - Golf - e-Golf 300,82
Volkswagen  - Golf - e-Golf,69
Volkswagen  - Golf - Golf-E,82
Volkswagen  - Golf - e golf,82
Volkswagen  - Golf - e-Golf,80
Volkswagen  - Golf - e-Golf,4
Volkswagen  - Golf - eGolf,82
Volkswagen  - Golf - eGolf,83
Volkswagen  - Golf - e-Golf,0
Volkswagen  - Golf - e-Golf,76
Volkswagen  - Golf - e-Golf,3
Volkswagen  - Up! - E-Up,56
Volkswagen  - Golf - Golf 1 Cabrio Typ 155,83
Volkswagen  - Golf - e-Golf 2017,81
Volkswagen  - Golf - e-Golf,84
Volkswagen  - Golf - e-Golf,84
Volkswagen  - Golf - e-Golf,82
Volkswagen  - Golf - eGolf ,84
Hyundai  - IONIQ - Elektro Premium,0
Volkswagen  - Golf - E-Golf,83
Dacia  - Spring - Spring electric,59
Volkswagen  - Golf - e-Golf (0603/CBP),84
Volkswagen  - Golf - BJ2019 / Modell 2020,84
Hyundai  - IONIQ - Premium Electric Facelift,65
Volkswagen  - Golf - e-Golf,61
Volkswagen  - Golf - e-Golf,86
Volkswagen  - Golf - e-Golf 300km,0
Volkswagen  - Golf - Egolf 300,85
Volkswagen  - Up! - Style,74
Volkswagen  - Golf - eGolf,86
Volkswagen  - Golf - eGolf,86
Volkswagen  - Golf - e-Golf,0
Volkswagen  - Golf - e,0
Hyundai  - IONIQ - Ioniq Elektro,65
Volkswagen  - Golf - e-Golf,87
Volkswagen  - Up! - E-UP!,59
Volkswagen  - Golf - e-Golf,74
Volkswagen  - Golf - e-Golf,2
Volkswagen  - Golf - egolf,0
Volkswagen  - Golf - eGolf,86
Volkswagen  - Golf - E-Golf,90
Volkswagen  - Golf - E-Golf,91
Volkswagen  - Golf - E-Golf,92
Volkswagen  - Golf - E-Golf 300,87
Volkswagen  - Golf - StromTrooper,93
Volkswagen  - Golf - Golf 7,90
Volkswagen  - Golf - e-Golf 2017,83
Volkswagen  - Golf - E-Golf,112
Renault  - Twingo - Equilibre,0
Volkswagen  - Golf - E-Golf,105
Volkswagen  - Golf - e-Golf,94
Volkswagen  - Golf - e-Golf,64
Renault  - Twingo - ZE,53
Volkswagen  - Golf - E Golf,111
Renault  - Twingo - Urbahn  Night,36
Renault  - Twingo - Urban Night,52
Renault  - Twingo - Twingo ZE,57
Renault  - Twingo - intense,56
Renault  - Twingo - ze,22
Volkswagen  - Golf - eGolf ,77
Renault  - Twingo - Vibes,58
Renault  - Twingo - ZE Vibes,59
Renault  - Twingo - Twingo Techno,59
Renault  - Twingo - Zen,60
Renault  - Twingo - Twingo ZE Intens,59
Renault  - Twingo - Twingo ZE,57
Renault  - Twingo - Twingo Electric vibes,59
Volkswagen  - Golf - e-Golf,72
Renault  - Twingo - Twingo Authentic,5
Renault  - Twingo - Vipes,60
Volkswagen  - Golf - e-Golf,101
Volkswagen  - Golf - e-Golf,0
Renault  - Twingo - Twingo ,62
Renault  - Twingo - intens,62
Renault  - Twingo - Equilibre,63
Renault  - Twingo - Minnimaus,64
Renault  - Twingo - Twingo Techno,66
Renault  - Twingo - Urban Night Electric,62
Volkswagen  - Up! - EUP,67
Volkswagen  - Golf - e-golf,86
Hyundai  - IONIQ - Ioniq Executive 28kWh,64
Volkswagen  - Golf - eGolf,84
Renault  - Twingo - Electro Vibes,66
Renault  - Twingo - Intens R80,67
Renault  - Twingo - Intens,70
Renault  - Twingo - Vibes,67
Renault  - Twingo - Urban Night,69
Renault  - Twingo - Urban Night,69
Hyundai  - IONIQ - IONIQ electric Premium,74
Renault  - Twingo - Z.E.,70
Renault  - Twingo - Twingo Vibes Z.E.,72
Hyundai  - IONIQ - Ioniq electric,74
Volkswagen  - Golf - e-golf,15
Renault  - Twingo - VIBES,71
Volkswagen  - Golf - eGolf,74
Renault  - Twingo - Equilibre,73
Renault  - Twingo - Twingo Electric,74
Renault  - Twingo - Vibes,74
Renault  - Twingo - 2020,73
Renault  - Twingo - Twingo Vibes,0
Renault  - Twingo - Twingo Intens,77
"Renault  - Twingo - Twingo ZE  intens 16""",73
Renault  - Twingo - Electric Vibes,79
Renault  - Twingo - Urban Night,76
Renault  - Twingo - Z. E. Intens,80
Renault  - Twingo - vibes,18
Volkswagen  - Golf - eGolf,11
Renault  - Twingo - Twingo III,77
Renault  - Twingo - Twingo Electric Intense 2021,0
Renault  - Twingo - electric Vibes,85
Renault  - Twingo - Electric Vibes,12
Renault  - Twingo - Twingo III,80
Renault  - Twingo - electric Vibes,0
Renault  - Twingo - Electric Vibes,85
Renault  - Twingo - Urban Nigt,90
Volkswagen  - Golf - eGolf,65
Renault  - Twingo - Twingo ZE intens,88
Renault  - Twingo - Electric Vibes,99
Renault  - Twingo - Twingo ZE Vibes,95
Skoda  - Citigo - e iV Style,50
Volkswagen  - Golf - eGolf,72
Renault  - Twingo - Techno,83
Volkswagen  - Up! - e-up United,97
Skoda  - Citigo - Citigo e iV,38
Renault  - Twingo - ZE R80 Zen 22,104
Skoda  - Citigo - CITIGOe iV,62
Skoda  - Citigo - e IV,41
Skoda  - Citigo - e iV,55
Skoda  - Citigo - Škoda Citigoᵉ IV Style,33
Skoda  - Citigo - Citigo iV,38
Skoda  - Citigo - iV,52
Skoda  - Citigo - Briefkasten,0
Volkswagen  - Golf - eGolf,68
Skoda  - Citigo - Citigo iv,65
Volkswagen  - Golf - e-Golf,18
Skoda  - Citigo - citygo e,53
Skoda  - Citigo - Citigoe iV,69
Skoda  - Citigo - Citigo e iV,30
Skoda  - Citigo - Citigo Style,68
Skoda  - Citigo - e iV,66
Renault  - Twingo - Twingo Electric,74
